författare,titel,ortförlag,utgivningsår,omfång,medförfattare,medarbetare,utgivare,serie,isbn,anmärkning,klassificering,placeringarab
"Erlandsson, Anders",Hohultslätts Folkets Hus,,1962,11 s.,,,,Älghultskrönika årg 19 1962 s. 115-125,,Berör även friluftsscenen i Hasselbacken. Kronobergsarkivet,,
"Elling, Gunnar",Fröskebygden får efterlängtad samlingslokal [Fröseke Folkets Hus],,1967,8 s.,,,,Älghultskrönika årg 24 1967 s. 127-134,,Kronobergsarkivet,,
"Woltfors, Elving",Alstermo Folkets Hus 50 år,,1989,11 s.,,,,Älghultskrönika nr 46 1989 s. 242-252,,Kronobergsarkivet,,
"Woltfors, Elving",Byggnadsföreningen Folkets Hus u p a Alstermo 11 november 1923-28 mars 1941,,1991,8 s.,,,,Älghultskrönika nr 48 1991 s. 122-129,,Kronobergsarkivet,,
"Ström, Börje",Nu eller aldrig. Historien om en Folkpark och människorna som aldrig gav upp. Hasselbacken från 1930 och inför 2000-talet,,1996,56 s.,,,,Älghultskrönika nr 53 1996 s. 66-121,,Kronobergsarkivet,,
"Carlsson, Josef",Ryds Folkets Hus [Folkets hus Almundsryd],,1975,3 s.,,,,Almundsryds hembygdsförening; Årsskrift 1975 s. 45-47,,Kronobergsarkivet,,
,Ryds Folkets Hus. [Almundsryds Folkets Hus],,1993,13 s.,,,,Almundsryds hembygdsförening. Årsskrift 1993 s. 68-80,,Kronobergsarkivet,,
"Cesar, Bror",60 händelserika år i Folketshusföreningens historia [Folkets Hus Södra Sandsjö],Konga,1980,6 s.,,,,Sandsjöboken 1979/80 s. 160-165,,Kronobergsarkivet,,
"Ljungblom, Jenny",Lidköpings Folkets husrörelse och kommunistskräcken under andra världskriget,"Högskolan i Karlstad, Institutionen för samhällsvetenskap, avd för historia",1998,,,,Högskolan i Karlstad,,,B-uppsats. Uppgift Skaraborgs läns folkrörelsearkiv,,
"Myhrberg, Monica",Tillkomsten av Folkets Park i Norrköping år 1901 och dess första år fram till 1909,Linköpings universitet,1994,,,,"Linköpings universitet, historiska institutionen",,,,,
,Nöjesparkens Teater en 50-årig kulturepok [Varberg],Varberg,u å,,,,,,,Folkrörelsernas arkiv i norra Halland,,
"Blomstrand, Kalle",Kafé och Nöjesliv i Landskrona,Lund,1980,,"Forsström, Kalle, Goedecke, Lars, Granlund, Anna, Nilson, Lena",,Etnologiska institutionen vid Lunds universitet,,,Arbetarrörelsens arkiv i Landskrona,,
,Arbetarkulturen i Landskrona 1880-1930,Lund,1917???,,,,Etnologiska institutionen vid Lunds universitet,,,Arbetarrörelsens arkiv i Landskrona,,
,Tingstad gamla brukssamhälle ; skildrat genom åtta keramikrelilefer i A-salen Tingstad-Backa Folkets Hus.,Göteborg,1986,19 s. : ill.,,,Folkets husföreningen i Tingstad-Backa,,,Region- och stadsarkivet Göteborg,Ibvz Tingstad,
,Folkets Hus teater [Göteborg],Göteborg,1955,,,,,,,Sammanbundna programhäften,Ike-cz Göteborg: Folkets hus teater 1955,
"Södersten, Erik",Folketshusrörelsen - tradition och framtid,Stockholm,1985,23 s. : ill.,,,FHR,,,Region- och stadsarkivet Göteborg,Ohm-c,Organisationstryck FHR 6
"Hedlund, Henrik",Göteborgs arbetareförening 1866-1909 ; med anledning av det nya föreningshusets invigning i september 1909,"Tryckeriföreningen Framåt, Göteborg",1909,"31 s. : ill., annonser",,,Göteborgs arbetareförening,,,Region- och stadsarkivet Göteborg. Nytryck 1926 44 s. : ill.,Ohai-cz Hedlund,Br67/5491
,Folkets Husföreningarnas Riksorganisations tionde kongress den 23-25 maj 1960 / protokoll (stenografiskt referat),Stockholm,1961,170 s.,,,,,,Region- och stadsarkivet Göteborg,Ohm-cbf Folkets husföreningarnas riksförbund (k),
"Holmgren, Torbjörn","“Den bär sig inte hur vi än bär oss åt” / Folkets Park, arbetarrörelsens kulturhärd och ekonomiska mjölkkossa / Krokängsparken 1903-1934",Göteborg,1981,38 bl,"Bornlid, Jan-Erik",,Göteborgs universitet. Litteraturvetenskapliga institutionen,,,Uppsats i litteraturvetenskap,Ncbiz Krokängsparken ; Ohm-cz Göteborg,
"Gyllenhammar, Maria",Valhalla och Folkets Hus i Sandviken - en studie i Lokala identiteter i historiskt perspektiv,Högskolan Gävle/Sandviken. Institutionen för Humaniora och samhällsvetenskap.,1997,,,,Högskolan Gävle/Sandviken. Institutionen för Humaniora och samhällsvetenskap,,,Uppsats i historia 20 p,,
"Jansson, Edvard",Storviks Folkets husförening 1909-1969,,,,,,,,,Centralarkivet Sandvikens kommun,,
"Edvardsson, Åke","Historik, komplettering 1970-1999 [Jansson, Edvard: Storviks Folkets husförening 1909-1969]",,,,,,,,,Centralarkivet Sandviken,,
"Jonsson, Henry",Hammarby byggnadsförening 50 år. Historik över Hammarby byggnadsförenings verksamhet 1906-1956.,Gävle,1956,,,,,,,Centralarkivet Sandviken,,
"Nilsson, Ivar",Kampår. Ystads arbetarerörelse genom fem decennier.,"Aurora, Ystad",1938,,"Andersson, Eric",,Ystads arbetarekommun,,,,,
"Vennerström, Ivar",F.V. Thorsson. En minnesskrift.,"Tidens förlag, Stockholm",1926,,,,,,,,,"22161, 22162"
"Elfstedt, Nils Gunnar [pseudonym Elloz]",Furuhäll,"Åmåstryck, Åmål",1993,16 s. : ill.,,,,,,Ingår i Gycklarminnen s. 21-36,,
"Sterner, Thea",Konst i Norra Latin & Folkets hus,Stockholm,1997,14 s. : ill. färg,,"Hansson, Lars foto",City Conference Centre,,,,,Organisationstryck FHR och FPC lokalt B 25/53
"Hultman, Kristina [red]",Stockholms Folkets Hus 100 år! ; En jubileumsskrift om kulturen och arkitekturen i Folkets Hus 1901-2001,Stockholm,2001,16 s. ; ill. färg,,,City Conference Centre,,,,,Br 67/5798
,“Folketshusrörelsen är som skapt för att ta hand om det nya”: dikter i Folkets hus,,1988,,,,,,,,,Organisationstryck FHR 6
Hultman. Kristina [red],Stockholms Folkets Hus 100 år! ; En jubileumsskrift om möten och händelser i Folkets Hus 1901-2001,Stockholm,2001,20 s. ; ill. färg,,,City Conference Centre,,,,,Organisationstryck FHR och FPC lokalt B 25/53
,Katalog över föreningen Folkets Hus bibliotek Motala verkstad,"Norrköpings tryckeriaktiebolag, Norrköping",1910,36 s.,,,,,,,,Organisationstryck FHR och FPC lokalt B 25/53
"Södersten, Erik",Folkets Hus Södertälje,Stockholm,1970,20 s. ; ill.,,,,,,,,Organisationstryck FHR och FPC lokalt B 25/53
,Musik i Folkets Hus,,1979,,,,,,,,,Br 67/2649
"Sundahl, Eskil",Ritningar till Folkets Hus : typritnigar till Folkets Hus,"Kooperativa förbundet, Stockholm",1930,,,,Kooperativa förbundets arkitektkontor,,,,,"Organisationstryck LO 6,  B 21/13"
"Virkamäki, Suvi",Folkets Hus och spelfilmen 1941-1945 : den svåra balansen mellan ideologi och ekonomi [Artikel],Stockholm,2001,8 s.,,,"Arbetarrörelsens arkiv och bibliotek, Stockholm",Arbetarhistoria 2001/2-3  nr 98-99 s. 24-31 Arbetarrörelsen och filmen,ISSN 0281-7446,,"Imb-c.54, Ohm-c",
"Carlsson, Torsten",[Folkets Park Hallstahammar] 50 år 1906-1956,Västerås,1956,32 s. : ill.,,,,,,,,Br 67/5600
,Dalaborgsparken: Folkets Park Vänersborg 50 år 1926-1976,,,,,,,,,,,Br 67/ 2070
,Stiga vi mot ljuset : Folkets Park Norrköping 25 maj-16 juni,,1979,,,,,,,,,Br 67/ 2144
"Björkqvist, Anita",Än svänger det om Folkets Park [Artikel],Stockholm,2000,17 s.,"Lahger, Håkan",foto: Gunilla Lundström,,,,Ingår i tidningen Vi nr 29/30 2000 s. 37-53,,
,En Österåkerskrönika,Åkersberga,1992,,,,,,,,,
"Ericsson, Eric",Minnesskrift [Örebro],Örebro,1950,,,,,,,,,
,"Årsberättelse 1948 Byggnadsföreningen Folkets Hus, Kosta",Kosta,1949,15 s. ; ill.,,,,,,historik,,Folkets Parkers Centralorganisations arkiv vol E IX b: 2
"Skoglund, Leif",Välkommen till Krokborn 1796-1971,Hällefors,1971,20 s.,,,,,,Ej arbetarrörelseägd,,Folkarkernas Centralorganisations arkiv vol. E IX b:2
,Vårt  nya Folkets Hus; Åhus Folkets Hus; Invigningen 2/12 1961,Åhus-Tryckerier,1961,7 s.,,,Styrelsen Åhus Folkets Hus & Parkförening u p a,,,,,FPC´s arkiv: vol E IXb:4
,Folkets Park Västervik 1902-1942. Jubileumsskrift,Ekblads Västervik,1942,15 s. : ill,,,,,,,,FPC´arkiv vol E IX b: 4
"Elfving, Lena",Föreningen Folkets Hus vid Motala Verkstad,"Institutionen för Tema, Avdelningen för historia, Linköpings universitet",1996,20 s.,,,Linköpings universitet,,,,,
"Kilbom, Karl",Folkets Hus och Parker,Steinsviks bokförlag AB,1956,21 s.: ill.,redaktör Fredrik Ström,,,Ingår i “Arbetets Söner. Text och bildfer ur den svenska arbetarrörelsens saga. Del III. Segrarnas tid. “ s. 462-482,,,,Ref 2:2
,Boråsparken 15 år. Djur i natur. Jubileum Boråsparken 1962-1977,"Reklamia Väst AB, Borås",1977,48 s. ill. färg,,"Arnold Ljungberg, Göran Tellstad. Foto: T Camitz, J. Eriksson, J. Sidenvik, Foto Bernt.",Boråsparken,,,,,FPC´s arkiv: vol. E IX b: 1 Från Parkerna inkomna jubileumsskrifter
,,,,,,,,,,,,
"Boberg, Karl",Byggnadsföreningen Tor återblick 1896-1976,,1976,6 s.,,,,,,,,
,Föreningen Folkets Hus Söderbärke 100 år 1897-1997,,,,,,,,,,,
,Rättviks Folkpark 1932-1957 25 år,Folkets Parkers Centralorganisation,1957,,,,Folkets Parkers Centralorganisation,,,Dalarnas Folkrörelsearkiv FAW 62.1984,,
"Paulsson, Gregor",Folkets Park  i Svensk stad Del 2 Från bruksby till trädgårdsstad s. 77-85,Studentlitteratur,1972 (1953),9 s.,,,,,91-44-08331-9,Första upplagan utgiven på Bonniers förlag 1953,,67/ 18 575
"Ericsson, Tore","Ordenslokal från 1901 blev Vätö Folkets hus. Artikel i Vätö Folketshusförening 60 år, jubileumsskrift.",,1989,,,,,,,,,
"Janstad, Hans m fl",Min ungdoms Park - en bildberättelse,"Arbetet, Malmö",1981,96 s. ill.,"Thomas Romberg, Bengt Salomonsson, Lennart Strandberg, Ingeborg Roth, Cecilia Ohlsson, Gabirel Winge",Layout: Johnnie Lundström,Arbetet i samarbete med Malmö museum,,,,,
"Eklund, Jörgen red.",Malmö Folkets Hus  (Tidskrift),Malmö,1971-1988,6 kartonger,,,Malmö Folkets Hus,,,Förvaras på Arbetarrörelsens arkiv i Malmö,,
,Lomma Folkets Hus - hem och kulturhärd för arbetarrörelsen,Lomma,1990,32 s. ill.,,,,,,Förvaras på Arbetarrörelsens arkiv i Malmö,,
"Jonson, Lars","""Far i hatten"" - landets första folkparksrestauration. Malmö Parken. Tradition och förnyelse. Vi trappar upp inför 100-årsjubileet 1991",Tryckeri AB Framtiden Malmö,1986,,,,Folkets Park Malmö,,,Förvaras på Arbetarrörelsens arkiv i Malmö,,
,Huskvarna Folkets Park  75 år 1925-2000,Huskvarna,2000,27 s. ill.,,,,,,,,
,Huskvarna Folkets Park  70 år 1925-1995,Huskvarna,1995,11 s. ill.,,,,,,,,
"Israelsson, Algot",Några anteckningar om Folkets Hus i Striberg,,1982,8 s.,,,,,,,,Samling: Folkets husföreningar vol. 3
,Sävedalens Folkets Hus bildande 1927.10.06,,1935,9 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 3
,En 50-årig verksamhet 1923-1973. Sävsjöströms byggnadsförening,,1973,27 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 3
"Henriksson, Birger","Byggnadsföreningen Heijmdal, Tumba 1908-1978",,1978,20 s.,,,,,,Tal hållit vid Byggnadsföreningen Heijmdals 70-årsjubileum 1978,,Samling: Folkets husföreningar vol. 3
,Återinvigning av Folkets Hus Älvängen,,,3 s.,,,,,,,,Samling: Folkets husföreningar vol. 3
,Åkersberga föreningshus invigt,,1937 ?,9 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 3
"Carlsson, Eric",I kamp mot nöden [Härnäsets Folkets Hus],,1985,3 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 2
"Lindqvist, Torsten",Kiruna Folkets Hus-förening 50 år 1901-1951,"Tryckeriaktiebolaget Nordpolen, Kiruna",1951,36 s. : ill.,,foto: Borg Mesch  omslag och diagram: Walter Gube,"Folkets Husföreningen, Kiruna",,,,,Samling: Folkets husföreningar vol. 2
,Utkast till historik för Byggnadsföreningen Folkets Hus i Oskarström,,,7 s.,,,,,,,,Samling: Folkets husföreningar vol. 2
"Jönsson, Ove",Folkets Hus i Segmon 50 år,,,4 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 2
,Återblickar över föreningens 50-åriga verksamhet [Folkets Hus i Selånger],Bergsåker,1977,13 s. : ill.,,,Styrelsen för Selångers Folkets husförening,,,,,
,Folkets Hus i Skebo Bruk,,,8 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 2
"Löfgren, August",Historik över Skelleftehamns Folkets Hus uppkomst och tillblivelse,,1944,4 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 2
"Fröjd, Kenneth och Ohlsson, Willy:",Stavsjö Föreningshus 50 år 1936-1986. Jubileumsskrift,,1986,36 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 2
,Föreningen Folkets Hus och Park 1906-1956  50 år [Fagersta],,1956,8 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 1
,Historik vid föreningen Folkets Hus 50-års jubileum [Falkenberg],,1956,8 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 1
,Falla Folkets Hus Förening 50 år 1935-1985 [Finspång],,,8 s. 1985,,,,,,,,Samling: Folkets husföreningar vol. 1
,Folkets Hus och Park Flerohopp,,,5 s.,,,,,,,,Samling: Folkets husföreningar vol. 1
,Skövde Folkets Park 1920-1994,Skövde,1995,28 s. : ill.,Västerhöjdsgymnasiets elever,,"Kommunikation och media, Västerhöjdsbymnasiet, Skövde",,,,,
"Antonsson, Verner",Svalövs arbetarrörelses historia,Svalöv,1987,,,,,,,FHP-enkät,,
,Lyssna deras minnen talar. Historik Herrängs Folketshusförening 90 år 27 sept 1997.,Hallstavik,1997,11 s. : ill.,,,,,,,,
"Larsson, Mats",Långshyttan 90 år 1907-1997,Långshyttan,1997,41 s. ; ill.,,,Folkets Husföreningen Långshyttan,,,,,
"Petersson, Sven-Erik",Värnamo Folkets Park. Minnen och historik,Värnamo,2002,230 s. ; ill.,,,Föreningen Folkets Hus och Park i Värnamo,,91-631-1913-7,,,
"Johansson, Arndt",[Folkets Hus i Borlänge] Minnesskrift 40 år,Borlänge,1941,,,,,,,FHP-enkät,,
"Backlund, Harry",[Folkets Hus i Borlänge] Minnesskrift 50 år,Solllefteå,1951,,,,,,,FHP-enkät,,
"Norelius, Erik",[Folkets Hus i Borlänge] Minnesskrift 90 år,Borlänge,1991,,,,,,,FHP-enkät,,
"Ekström, Birger",Boxholms Folkets Hus 100 år,Boxholm,1999,,,,,,,FHP-enkät,,
,Det var fattigt i bygden,Bromölla,1989,,,,Bromölla Arbetarekommun,,,FHP-enkät,,
"Cardell, Hans","""Brunnsviks Byggnadsförening u p a 1906-1979""","Sörvik, Ludvika",1979,,,,,,,FHP-enkät,,
,[Bräkne-Hoby] 25-årsberättelse 1908-1933,Bräkne-Hoby 1933,,,,,,,,FHP-enkät,,
,Östra Skymnäs-Nybacka förr och nu 1761-1995,,1995,,,,Östra Skymnäs byalag,,,,,
"Wetterström, Rune","Historik Byggnadsföreningen Fästet (Invigningstal efter återuppbyggnaden), 1985",,1985,,,,,,,Uppgift FHP-enkät,,
,[Folkets Park i Byske 1923-1994],,,,,,,,,Historiken skriven som ALU-projekt enligt FHP-enkät,,
"Helin, Nanna",Boken om Båtskärsnäs,Båtskärsnäs,1990,,,,,,,ABF-cirkel,,
"Nyström, Anders",[historik vid Charlottenbergs Folkets Husförenings 40-årsjubileum,Charlottenberg,1941?,,,,,,,FHP-enkät,,
"Järbe, Bengt",Förändringarnas Torg [Folkets Hus i Stockholm],Tidens Förlag,1989,,,,,,,,,
,,,,,,,,,,,,
,Byggnadsföreningen Solidar i Toarp u.p.a. 1912-1992,,,4 s.,,,,,,"FHP-enkät. Se även Sehlin, Börje: Knektens barn",,
"Sehlin, Seth",Om Folkets Hus och Parker [Dalsjöfors],,2001,3 s.,,,,,,FHP-enkät,,
,Folkets Hus 80 år [FH Degerfors],,,,,,,,,Uppgift FHP-enkät,,
"Svensson, Ingvar",Föreningen Folkets Hus Blomstermåla 75 år,Blomstermåla,1981,12 s.,,,Föreningen Folkets Hus Blomstermåla,,,,,
"Jansson, Harald",FH 50 år [Gonäs Folkets Hus],Gonäs,1964,,,,,,,FHP-enkät,,
"Erikson, John-Hansson, Gustaf- Plahn, Nils",Historik över Grycksbo Folkets husförenings 50-åriga verksamhet 1918-1968,Grycksbo,1968,6 s.,,,,,,Ingår i FHP-enkät,,
,[Gullbrandstorps Folkets Hus] jubileumsskrifter,Gullbrandstorp,1984 och 1999,,,,,,,Uppgift FHP-enkät,,
"Eriksson, Gustaf",Föreningen Folkets Hus u p a Gullänget,,1977,16 s.,,,,,,FHP-enkät,,
,Vi gjorde det [Gute Folkets Hus],Gute,1991,,,,,,,Uppgift i FHP-enkät,,
"Nilsson, Rosemarie",Tingstads Folkets Hus,Göteborg,1986,,,,,,,Uppgift FHP-enkät,,
"Larsson, Bo-Lage",Folkets Hus Hallstahammar 40 år,Hallstahammar,1999,,,,,,,Uppgift FHP-enkät,,
,Folkets Hus Hammarkullen 10 år,,1999,,,,,,,Uppgift FHP-enkät,,
"Kjellstrand, Leif / Nordgren, Leif",Haningen Folkets Hus 70 år,,1996,,,,,,,Uppgift FHP-enkät,,
,Herrljunga Folkets Park,Herrljunga,1991,,,,Styrelsen,,,Uppgift FHP-enkät,,
,Kort historik vid Herrängs Folkets Hus Förenings 75-års-jubileum den 13 nov 1982,,1982,,,,,,,FHP-enkät,,
"Johansson, Kjell / Högdahl, Eva",Folkets Hus. Den fria tankens Hus.,Huddinge,1995,,,,,,,Uppgift FHP-enkät,,
"Wallbom, Karl-Erik",När vi började ..... och fortsättningen,Köping,1955,,,,,,,,,
"Johansson, Per",Inför 75-årsjubiléet [Kallhälls Folkets Hus],,1987,,,,,,,Uppgift från FHP-enkät,,
"Johansson, Sten",Carlsholmeparken i Mariestad,Mariestad,1978,,,,,,,,,
"Andersson, Gösta",Föreningen Folkets Hus i Kungshamn (Gravarne) och Folkets Hus åren 1910-1985,Kungshamn,1986,48 s. ; ill.,"Thorsen, Niels Chr.",,,,,FHP-enkät,,
"Jarnngård, Sixten","""Kävlinge Folkets Parks stormiga historia"" i Kävlinge Nu och Då 1978",Kävlinge,1978,,,,,,,Uppgift i FHP-enkät,,
"Börjesson, Klas [red]",Bebyggelse och kulturlandskap; Regionalt kulturminnesvårdsprogram för Jönköpings Län Del 1. Meddelanden från Jönköpings läns Hembygdsförbund och stiftelsen Jönköpings Läns Museum LIX,"Jönköping, Jönköpings läns museum",1988,"216 s. : ill., kartor",,,,Meddelanden från Jönköpings läns hembygdsförbund och Stiftelsen Jönköpings läns museum,,,,
"Olarsbo, Mary Ann [red]",Utdrag ur protokoll från Leufstabruks Fokets Hus Förening u p a 1924-1948,,1999,,,,,,,Uppgift i FHP-enkät,,
,Folkets Park Linköping 75 år,,1996,,,,Styrelsen,,,Uppgift FHP-enkät,,
"Nilsson, Bo Sigvard / Johansson, Bo",Liseberg - Från komark till Nöjespark,Göteborg,1998,,,,,,,Uppgift FHP-enkät,,
,Folkets Hus Forum Ljungaverk 40 års Jubileum 1955-1995 [artikel],,,3 .,,,,,,FHP-enkät,,
,Ljungsbro Folkets Park [70-års historik],Ljungsbro,1998,,,,,,,Uppgift i FHP-enkät,,
"Wollmer, Lisa",Dokumentation av Skeer [Orsa],Orsa,1984,,,,,,,FHP-enkät,,
"Nord, Inger","Ett hus och en park för folket i Skoghall. En dokumentation om Folkets Husföreningen i Skoghall under 80 år, 1916-1996",Skoghall,1999,79 s.,,,,,,FHP-enkät,,
"Lidén, Ann-Marie",Skogsvallen. Som festplats och idrottsplats förr och nu.,Östervåla,1999,,"Georgsson, Hans",,,,,,,
,Historik vid 100-årsjubiléet [Skromberga FH],Eneby,1998,,,"Sten Hansson, Arne Mårtensson, Bertil Pettersson",,,,FHP-enkät,,
"Gunnar, Bertil","Inventering av arbetarrörelsens, frikyrkorörelsens och nyukterhetsrörelsens lokaler inom HÄllefors nuvarande kommun.",Hällefors,1974,,,,,,,Nordiska museets bibliotek,,
"Larsson, John G",Folkets Hus Föreningen i Gävle 1897-1997,Gävle,1997,63 s.,,,Folkets Hus Gävle,,,,,
"Almqvist, Åke/Strålman, Karl-Erik/Larsson,Bengt",Historik 1937-1987 [Tibro Folkets Park],Tibro,1987,,,,,,,Uppgift FHP-enkät,,
"Hagström, Claes / Möllerfält, Gösta",Trosa Folkets Hus 50 år 1938-1988,Trosa,1988,,,,,,,FHP-enkät,,
,Krönika över Föreningen Folkets Hus u p a i Tungelsta,Tungelsta,1983,,,,styrelsen,,,Uppgift FHP-enkät,,
,Folkets Hus Uddevalla 1903-1983,Uddevalla,1983,,,,Styrelsen,,,,,
,Östra Sönnarslöv med Maltesholm och Borrestad,Östra Sönnarslöv,1993,,,,Hembygdscirkel,,,Uppgift FHP-enkät,,
"Karlén, Bruno",Folkets Hus Förlösa 60 år,Kalmar,1998,,,,,,,,,
,Från vägskäl till dansbana. Boken om dansplatser i Blekinge,,2001,166 s.; ill,,"Isgren, Kerstin projektledare","ABF-distriktet, Blekinge",,91-631-3056-4,,,
"Lindström, Bengt","Folkets Hus i Trollhättan Kulturhuset. Så fick kulturen sin högborg och Trollhättan sitt ""innetorg"".  1922-2002.",Trollhättan,2002,32 s. ; ill.,,,,,,,,
